time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.13,-0.98,5.40,-5.42,7.03,0.25,38
1,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.10,0.13,-0.97,5.43,-5.21,6.97,0.39,38
2,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.12,-0.98,5.34,-5.40,7.06,2.96,38
3,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.13,-0.98,5.08,-5.27,6.85,0.62,38
4,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.17,0.10,-0.99,5.21,-5.52,7.15,2.88,38
5,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.11,0.11,-0.99,5.25,-5.31,7.23,3.00,38
6,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.12,0.11,-0.95,5.34,-5.47,7.01,3.92,38
7,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.12,-0.10,0.14,-0.97,5.11,-5.23,7.04,3.39,38
8,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.02,0.17,-0.97,5.33,-5.28,7.11,3.43,38
9,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.12,0.15,-0.99,5.66,-5.40,7.05,3.66,38
10,20,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.08,0.12,-0.99,5.34,-5.24,7.15,4.76,38
11,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.15,-0.97,5.35,-5.33,7.15,3.14,38
12,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.12,-0.10,0.13,-0.98,5.05,-5.48,6.89,3.57,38
13,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.10,0.12,-0.99,5.67,-5.18,7.10,2.95,38
14,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.12,-0.98,5.37,-5.37,7.47,3.44,38
15,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.10,0.13,-0.98,5.25,-5.34,7.03,2.12,38
16,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.10,0.13,-0.98,5.25,-5.31,7.00,2.15,38
17,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.10,0.13,-0.98,5.44,-5.26,7.04,3.23,38
18,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.13,0.11,-0.98,5.33,-5.22,6.85,2.23,38
19,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.08,0.13,-0.96,5.53,-5.27,6.98,5.31,38
20,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.09,0.13,-0.98,5.28,-5.37,7.23,3.77,38
21,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.08,0.15,-0.96,5.45,-5.32,6.91,3.60,38
22,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.08,0.13,-0.99,5.55,-5.34,6.98,3.04,38
23,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.12,-0.10,0.15,-0.97,5.70,-5.34,6.89,3.34,38
24,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.07,0.12,-0.98,5.31,-5.32,6.97,4.24,38
25,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.10,0.12,-0.97,5.38,-5.32,7.14,3.74,38
26,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.06,0.14,-0.97,5.13,-5.29,6.87,4.11,38
27,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.12,-0.09,0.15,-0.98,5.21,-5.41,7.17,4.34,38
28,20,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.07,0.15,-0.98,5.67,-5.33,7.20,3.56,38
29,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.09,0.15,-0.98,5.15,-5.28,6.92,3.74,38
30,20,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.08,0.14,-0.98,5.50,-5.24,6.98,3.45,38
31,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.10,0.13,-1.00,5.55,-5.35,7.02,4.30,38
32,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.21,-0.11,0.12,-0.99,5.40,-5.43,7.02,4.24,38
33,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.31,-0.05,0.14,-0.96,5.31,-5.46,6.94,5.18,38
34,0,1,1,0,0,0,0,0,0,0,0,33.54,22.66,15.12,-0.14,0.09,-1.01,5.18,-5.41,7.10,0.52,38
