time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,0,1,1,0,0,0,0,1,0,0,0,35.50,26.04,18.32,-0.10,0.12,-0.99,5.50,-5.44,7.18,1.36,2927
1,0,1,1,0,0,0,0,1,0,0,0,35.50,26.04,18.41,-0.09,0.13,-0.99,5.44,-5.38,6.99,2.42,2927
2,0,1,1,0,0,0,0,1,0,0,0,35.50,26.04,18.32,-0.09,0.12,-0.99,5.34,-5.44,6.98,4.09,2927
3,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.08,0.13,-0.98,5.66,-5.24,7.08,3.04,2927
4,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.03,0.09,-0.96,4.94,-5.23,6.98,6.46,2927
5,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.16,0.13,-1.00,5.14,-5.30,7.11,4.56,2927
6,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.05,0.12,-0.98,5.54,-5.21,6.96,3.53,2927
7,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.04,0.14,-0.96,5.14,-5.40,7.08,4.71,2927
8,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.07,0.12,-1.00,5.55,-5.40,7.28,4.44,2927
9,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.09,0.14,-0.99,5.44,-5.47,7.16,3.97,2927
10,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.10,0.12,-0.98,5.21,-5.23,6.82,4.49,2927
11,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.11,0.12,-0.98,5.29,-5.19,6.90,3.90,2927
12,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.08,0.12,-0.97,5.14,-5.28,6.98,3.98,2927
13,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.12,-0.99,5.20,-5.37,7.21,4.18,2927
14,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.13,-0.99,5.37,-5.39,7.05,2.46,2927
15,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.09,0.13,-0.98,5.40,-5.40,6.97,2.51,2927
16,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.13,-0.99,5.13,-5.40,7.02,3.31,2927
17,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.14,-0.99,5.53,-5.36,6.83,3.29,2927
18,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.12,-1.00,5.34,-5.31,6.88,2.29,2927
19,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.22,-0.08,0.12,-0.99,5.07,-5.27,7.08,3.25,2927
20,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.08,0.13,-1.01,5.60,-5.18,7.14,3.84,2927
21,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.14,0.12,-1.00,5.69,-5.51,7.15,5.03,2927
22,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.11,0.11,-1.01,5.41,-5.27,6.90,4.95,2927
23,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.04,0.15,-0.99,5.29,-5.37,6.83,4.91,2927
24,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.09,0.13,-0.99,5.07,-5.14,6.98,3.95,2927
25,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.12,0.11,-1.00,5.41,-5.34,7.20,4.42,2927
26,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.12,0.11,-0.99,5.44,-5.55,6.99,4.22,2927
27,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.13,0.09,-1.00,5.19,-5.37,6.99,4.28,2927
28,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.11,-1.00,5.41,-5.30,7.23,4.99,2927
29,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.09,0.13,-0.98,5.14,-5.24,6.92,0.69,2927
30,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.22,-0.06,0.16,-0.96,5.29,-5.38,7.20,4.00,2927
31,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.08,0.07,-1.00,5.05,-5.16,7.05,5.06,2927
32,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.06,0.11,-0.97,5.40,-5.36,7.20,4.13,2927
33,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.10,0.15,-0.99,5.18,-5.15,6.84,3.74,2927
34,20,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.41,-0.08,0.09,-1.01,5.37,-5.15,7.18,5.73,2927
35,0,1,1,0,0,0,0,1,0,0,0,35.01,26.04,18.32,-0.06,0.13,-0.97,5.40,-5.50,7.05,4.71,2927
