time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.95,-0.36,-0.91,-0.24,-3.05,-0.54,0.70,0.88,15
1,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.20,-0.36,-0.92,-0.25,-3.08,-0.56,0.52,2.89,15
2,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.00,-0.36,-0.91,-0.25,-3.21,-0.37,0.47,2.64,15
3,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.66,-0.38,-0.89,-0.26,-3.08,-0.23,0.46,2.72,15
4,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.95,-0.37,-0.91,-0.24,-3.15,-0.50,0.66,2.75,15
5,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.00,-0.42,-0.89,-0.25,-3.31,-0.45,1.07,13.88,15
6,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.95,-0.40,-0.94,-0.26,-3.03,-0.27,0.63,0.98,15
7,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.05,-0.38,-0.87,-0.25,-3.15,-0.55,0.85,12.26,15
8,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.86,-0.36,-0.95,-0.25,-2.85,-0.40,0.20,15.44,15
9,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.66,-0.32,-0.91,-0.26,-2.87,-0.73,0.52,13.46,15
10,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.29,-0.33,-0.90,-0.26,-3.29,-0.36,0.26,8.49,15
11,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,16.95,-0.34,-0.95,-0.26,-3.13,-0.88,0.39,11.29,15
12,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.00,-0.41,-0.91,-0.27,-3.25,-0.18,0.49,6.31,15
13,4,1,1,0,0,0,0,0,0,0,0,32.08,24.69,17.00,-0.35,-0.92,-0.24,-3.18,-0.54,0.37,5.63,15
