time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.36,-0.92,-0.25,-3.02,-0.20,0.57,0.28,10
1,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.36,-0.91,-0.25,-3.05,-0.22,0.53,0.56,10
2,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.37,-0.92,-0.25,-3.10,-0.27,0.53,3.12,10
3,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.33,-0.89,-0.27,-2.73,-0.45,0.22,5.73,10
4,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.31,-0.97,-0.26,-2.76,0.28,0.30,6.79,10
5,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.32,-0.89,-0.24,-3.29,-0.34,1.11,15.08,10
6,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,12.48,-0.29,-0.92,-0.25,-3.58,-0.45,0.27,18.10,10
7,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.34,-0.95,-0.23,-3.16,-0.35,0.14,14.94,10
8,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.41,-0.89,-0.28,-2.68,-0.22,0.11,15.30,10
9,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.30,-0.94,-0.23,-2.73,-0.51,0.66,11.28,10
10,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.31,-0.92,-0.23,-2.98,-0.21,0.27,12.09,10
11,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.95,-0.28,-3.21,-0.41,0.72,8.36,10
12,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.39,-0.91,-0.25,-3.03,-0.13,1.00,7.79,10
13,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.37,-0.91,-0.25,-3.11,-0.17,0.46,2.92,10
14,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.37,-0.91,-0.25,-3.04,-0.24,0.45,5.90,10
15,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.36,-0.93,-0.26,-3.15,-0.31,0.66,2.73,10
16,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.37,-0.91,-0.27,-2.97,-0.31,0.44,3.86,10
17,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.37,-0.92,-0.25,-3.11,-0.14,0.68,0.58,10
18,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.35,-0.94,-0.25,-3.21,-0.43,0.38,13.13,10
19,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.43,-0.83,-0.28,-3.05,0.07,0.63,13.93,10
20,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.19,-0.38,-0.83,-0.26,-3.25,-0.10,0.52,13.43,10
21,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.39,-0.92,-0.26,-2.91,-0.27,0.34,9.61,10
22,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.28,-0.94,-0.27,-3.33,-0.57,0.36,9.17,10
23,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.32,-0.94,-0.25,-3.23,-0.41,0.52,9.77,10
24,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.38,-0.89,-0.22,-3.08,-0.63,0.34,5.49,10
25,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.34,-0.96,-0.23,-2.84,-0.07,0.58,7.61,10
26,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.36,-0.93,-0.22,-3.02,0.18,0.60,6.80,10
27,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.41,-0.92,-0.26,-2.92,-0.08,0.72,14.64,10
28,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.34,-0.91,-0.24,-3.22,-0.40,0.40,10.20,10
29,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.36,-0.93,-0.27,-3.12,-0.28,0.66,13.37,10
30,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.31,-0.94,-0.27,-3.66,-0.50,0.28,10.28,10
31,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.40,-0.97,-0.24,-2.73,-0.14,0.74,13.19,10
32,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.31,-0.81,-0.25,-3.30,-0.28,0.24,8.12,10
33,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.39,-0.91,-0.29,-3.11,1.82,0.27,7.95,10
34,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.34,-0.93,-0.22,-3.05,-0.15,0.48,10.33,10
35,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.36,-0.89,-0.28,-2.92,-0.41,0.56,9.14,10
36,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.36,-0.95,-0.21,-3.08,-0.22,0.43,8.72,10
37,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.38,-0.94,-0.26,-3.05,-0.32,0.15,7.28,10
38,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.37,-0.92,-0.26,-2.98,-0.14,0.30,4.03,10
39,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.24,-0.36,-0.91,-0.26,-3.21,-0.30,0.42,2.34,10
40,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.36,-0.91,-0.26,-2.94,-0.34,0.37,2.30,10
41,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.36,-0.89,-0.25,-3.03,-0.31,0.52,6.91,10
42,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.39,-0.94,-0.26,-3.09,-0.22,0.73,8.86,10
43,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.34,-0.94,-0.25,-3.10,-0.29,0.46,8.55,10
44,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.92,-0.24,-2.85,-1.77,0.34,7.97,10
45,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.33,-0.89,-0.25,-3.41,-0.38,0.31,9.14,10
46,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.33,-0.87,-0.28,-3.02,-0.54,0.33,4.22,10
47,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.33,-0.91,-0.26,-3.14,-0.18,0.41,10.06,10
48,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.41,-0.88,-0.27,-3.24,-0.68,0.41,0.72,10
49,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.92,-0.27,-3.45,-0.16,0.59,6.68,10
50,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.40,-0.90,-0.24,-3.02,-0.22,0.47,13.98,10
51,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.40,-0.94,-0.26,-2.95,-1.81,0.21,7.14,10
52,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.35,-0.90,-0.24,-3.02,-0.50,0.54,8.19,10
53,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.36,-0.99,-0.25,-3.15,-0.45,0.35,5.76,10
54,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.37,-0.94,-0.24,-2.96,-0.37,0.62,10.90,10
55,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.41,-0.88,-0.25,-3.24,-0.46,0.61,6.15,10
56,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.35,-0.85,-0.26,-3.06,-0.28,0.48,6.46,10
57,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.38,-0.96,-0.27,-2.99,0.02,0.31,10.73,10
58,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.35,-0.93,-0.24,-3.08,-0.33,0.49,9.41,10
59,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.34,-0.90,-0.25,-2.89,-0.42,0.49,7.59,10
60,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.38,-0.93,-0.23,-3.21,-0.13,0.65,11.85,10
61,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.93,-0.25,-3.07,-0.40,0.66,5.67,10
62,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.36,-0.91,-0.25,-3.15,-0.18,0.35,7.83,10
63,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.39,-0.96,-0.25,-2.73,-0.43,0.28,17.17,10
64,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.33,-0.94,-0.27,-3.17,-0.39,0.05,7.31,10
65,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.36,-0.89,-0.27,-3.01,-0.56,0.34,11.38,10
66,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.33,-0.95,-0.25,-3.22,-0.24,0.45,8.54,10
67,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.41,-0.90,-0.24,-3.01,-0.08,0.37,9.59,10
68,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.30,-1.00,-0.21,-3.08,-0.73,0.37,7.16,10
69,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.38,-0.91,-0.24,-2.97,-0.47,0.54,6.23,10
70,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.33,-0.98,-0.23,-2.92,-0.35,0.48,13.79,10
71,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.31,-0.96,-0.26,-3.05,0.16,0.31,6.43,10
72,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.36,-0.88,-0.25,-3.50,-0.16,0.60,10.73,10
73,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.37,-0.94,-0.24,-2.73,-0.13,0.42,6.58,10
74,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.33,-0.93,-0.28,-3.50,-0.29,0.08,5.62,10
75,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.37,-0.88,-0.27,-3.05,1.85,0.57,16.17,10
76,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.34,-0.98,-0.22,-3.06,-0.56,0.36,10.55,10
77,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.39,-0.90,-0.26,-2.89,-0.59,0.53,3.78,10
78,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.36,-0.86,-0.24,-3.41,-0.31,0.79,7.59,10
79,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.90,-0.28,-2.79,-0.34,0.17,1.37,10
80,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.87,-0.26,-3.39,-0.38,0.41,6.31,10
81,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.41,-0.91,-0.25,-2.92,-0.04,0.32,5.96,10
82,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.34,-0.89,-0.26,-3.30,-0.35,0.56,8.07,10
83,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.37,-0.92,-0.26,-3.36,-0.19,0.40,7.13,10
84,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.39,-0.90,-0.22,-3.16,-0.64,0.40,8.08,10
85,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.33,-0.90,-0.27,-2.98,-0.47,0.79,6.23,10
86,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.33,-0.94,-0.27,-3.15,-0.49,0.37,6.28,10
87,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.38,-0.92,-0.25,-2.90,-0.20,0.39,5.76,10
88,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.52,-0.32,-0.91,-0.24,-3.36,-0.43,0.24,7.96,10
89,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.28,-0.38,-0.90,-0.24,-2.81,-0.16,0.37,5.75,10
90,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.38,-0.88,-0.26,-2.94,-0.15,0.23,5.67,10
91,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.35,-0.97,-0.24,-3.08,-0.38,0.68,10.73,10
92,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.36,-0.91,-0.25,-3.18,0.32,0.47,5.72,10
93,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.37,-0.91,-0.23,-3.23,-0.33,0.50,5.82,10
94,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.32,-0.86,-0.31,-3.08,1.80,0.54,14.07,10
95,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.36,-0.87,-0.27,-3.35,-0.75,0.60,12.93,10
96,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.40,-0.89,-0.26,-3.05,-0.06,0.74,5.45,10
97,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.34,-0.88,-0.25,-3.07,-0.26,0.24,7.16,10
98,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.37,-0.90,-0.26,-2.92,-0.24,0.44,6.33,10
99,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.38,-0.92,-0.25,-2.92,-0.40,0.52,5.32,10
100,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.38,-0.95,-0.26,-2.53,-0.21,0.48,5.79,10
101,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.31,-0.88,-0.26,-3.34,-0.44,0.45,9.41,10
102,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.52,-0.35,-0.86,-0.25,-3.26,-0.16,0.20,7.19,10
103,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.42,-0.38,-0.91,-0.27,-2.92,0.13,0.31,11.90,10
104,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.33,-0.92,-0.24,-3.24,-0.47,0.58,13.53,10
105,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.47,-0.32,-0.92,-0.26,-2.84,-0.44,0.87,10.13,10
106,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.33,-0.37,-0.93,-0.27,-3.18,1.92,0.27,15.74,10
107,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.38,-0.39,-0.89,-0.29,-2.83,-0.73,0.73,9.61,10
108,4,1,1,0,0,0,0,1,0,0,0,35.01,18.61,13.52,-0.33,-0.90,-0.26,-3.20,-0.56,0.40,6.80,10
