time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.38,-0.42,-0.80,-0.51,-3.10,-0.34,0.28,0.38,88
1,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.33,-0.42,-0.81,-0.51,-2.98,-0.36,0.38,0.95,88
2,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.33,-0.41,-0.81,-0.51,-3.04,-0.32,0.50,3.82,88
3,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.47,-0.41,-0.82,-0.52,-3.03,-0.51,0.22,8.40,88
4,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.42,-0.42,-0.79,-0.50,-3.44,0.27,1.95,21.48,88
5,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.38,-0.43,-0.78,-0.53,-3.08,-0.66,0.85,12.59,88
6,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.42,-0.46,-0.79,-0.48,-3.20,-1.87,0.83,14.29,88
7,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.42,-0.36,-0.80,-0.49,-3.29,1.69,0.47,16.69,88
8,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.38,-0.35,-0.80,-0.53,-3.07,-0.67,0.31,12.28,88
9,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.38,-0.42,-0.80,-0.50,-2.82,-0.59,-0.05,13.35,88
10,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.28,-0.47,-0.80,-0.55,-3.00,0.41,0.76,11.93,88
11,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.47,-0.45,-0.78,-0.51,-3.38,0.28,0.54,12.28,88
12,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.47,-0.40,-0.81,-0.52,-3.19,-0.53,0.29,11.76,88
13,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.42,-0.42,-0.80,-0.50,-2.95,-0.20,0.54,2.68,88
14,3,1,1,0,0,0,0,0,0,0,0,35.01,19.96,13.47,-0.41,-0.80,-0.51,-3.13,-0.27,0.44,3.19,88
