time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.44,-0.62,-0.75,-3.26,-0.52,0.23,0.94,10037
1,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.44,-0.62,-0.75,-3.32,-0.42,0.45,2.15,10037
2,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.44,-0.61,-0.75,-3.11,-0.47,0.33,2.08,10037
3,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.45,-0.61,-0.76,-3.33,-0.55,0.34,1.96,10037
4,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.66,-0.42,-0.66,-0.77,-3.18,-0.88,-0.04,3.71,10037
5,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,18.37,-0.45,-0.64,-0.76,-2.84,-1.92,1.21,23.48,10037
6,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.45,-0.62,-0.74,-3.32,1.85,1.36,22.20,10037
7,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.43,-0.61,-0.73,-3.51,1.78,0.50,26.38,10037
8,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.37,-0.64,-0.74,-3.14,-1.10,-0.43,17.05,10037
9,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.41,-0.62,-0.75,-3.22,-0.95,0.82,25.23,10037
10,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.50,-0.64,-0.75,-3.05,0.24,0.80,21.85,10037
11,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.53,-0.61,-0.77,-3.63,0.73,1.30,21.18,10037
12,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.66,-0.43,-0.62,-0.75,-3.56,0.10,0.28,29.54,10037
13,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,16.95,-0.41,-0.67,-0.73,-3.05,-0.86,1.83,24.63,10037
15,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.41,-0.62,-0.74,-3.36,0.07,0.81,2.34,10037
16,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,18.37,-0.44,-0.62,-0.76,-3.07,-0.53,0.34,1.82,10037
17,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.44,-0.61,-0.75,-3.10,-0.47,0.31,2.40,10037
18,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.42,-0.62,-0.76,-3.18,-0.56,0.35,2.10,10037
19,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.43,-0.62,-0.76,-3.26,-0.50,0.37,1.77,10037
20,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.45,-0.62,-0.75,-3.50,-0.37,1.89,7.78,10037
21,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.42,-0.65,-0.78,-3.25,-0.06,0.17,13.06,10037
22,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.45,-0.62,-0.73,-3.43,-0.82,0.34,15.89,10037
23,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.46,-0.56,-0.75,-3.01,-1.95,0.40,11.76,10037
24,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.44,-0.60,-0.78,-3.48,-0.28,0.66,9.55,10037
25,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.46,-0.62,-0.75,-3.02,-0.06,1.18,18.87,10037
26,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.39,-0.60,-0.77,-3.31,-0.76,0.00,12.31,10037
27,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.61,-0.40,-0.59,-0.78,-3.51,-0.73,0.89,14.25,10037
28,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.48,-0.59,-0.76,-3.56,-0.75,0.37,10.49,10037
29,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.52,-0.43,-0.61,-0.77,-3.24,-0.60,0.30,15.78,10037
30,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.45,-0.58,-0.74,-3.69,-0.86,0.29,16.46,10037
31,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.38,-0.67,-0.75,-3.07,-1.02,0.47,9.94,10037
32,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.44,-0.59,-0.71,-3.27,-0.87,-0.23,19.26,10037
33,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.45,-0.63,-0.79,-2.70,-0.24,0.09,13.08,10037
34,2,1,1,0,0,0,0,0,0,0,0,35.01,24.69,17.57,-0.40,-0.60,-0.73,-3.58,-0.92,-0.60,17.82,10037
