time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.43,-0.64,-0.72,-3.18,-0.44,0.40,0.25,12
1,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.44,-0.64,-0.73,-3.15,-0.27,0.47,0.28,12
2,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.44,-0.64,-0.73,-3.08,-0.24,0.45,2.48,12
3,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.46,-0.39,-0.62,-0.74,-3.01,-0.77,-1.82,9.82,12
4,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.51,-0.61,-0.75,-2.66,-1.87,0.19,15.48,12
5,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.46,-0.46,-0.65,-0.75,-3.30,-1.95,1.27,22.81,12
6,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.46,-0.48,-0.63,-0.74,-2.98,-0.15,0.83,20.55,12
7,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.46,-0.66,-0.72,-3.29,0.39,0.89,10.79,12
8,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.45,-0.63,-0.71,-3.24,-0.15,0.97,20.80,12
9,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.44,-0.64,-0.76,-3.42,-0.14,0.88,15.48,12
10,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.46,-0.47,-0.65,-0.74,-3.43,0.29,0.86,13.62,12
11,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,17.71,-0.44,-0.62,-0.73,-3.27,-0.34,0.63,10.87,12
12,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.44,-0.65,-0.74,-3.13,-0.27,0.60,7.36,12
13,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.44,-0.64,-0.73,-3.20,-0.23,0.40,3.25,12
14,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.46,-0.43,-0.64,-0.73,-3.00,-0.18,0.67,2.54,12
15,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.43,-0.64,-0.73,-3.06,-0.24,0.50,3.26,12
16,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.60,-0.43,-0.63,-0.72,-3.23,-0.40,0.44,2.79,12
17,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.60,-0.44,-0.63,-0.74,-3.32,-0.38,0.37,2.47,12
18,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.45,-0.66,-0.75,-3.03,-0.21,0.83,6.09,12
19,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.51,-0.38,-0.62,-0.73,-3.37,-0.63,0.30,1.41,12
20,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.55,-0.39,-0.65,-0.72,-3.39,-0.27,0.22,6.92,12
21,2,1,1,0,0,0,0,0,0,0,0,31.59,25.36,18.60,-0.43,-0.62,-0.72,-3.15,-0.44,0.35,8.89,12
