time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.74,-0.44,-0.64,-0.73,-3.01,-0.38,0.43,1.75,333
1,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,16.11,-0.44,-0.64,-0.73,-3.08,-0.41,0.35,0.66,333
2,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.40,-0.48,-0.62,-0.74,-3.11,-0.50,0.28,4.04,333
3,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.44,-0.64,-0.73,-3.12,-0.34,0.41,3.88,333
4,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.69,-0.42,-0.65,-0.72,-2.92,-0.14,0.45,12.63,333
5,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.40,-0.53,-0.66,-0.74,-3.35,0.96,0.95,9.39,333
6,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.45,-0.40,-0.64,-0.72,-3.37,-0.30,0.19,14.20,333
7,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,16.15,-0.40,-0.64,-0.70,-3.20,-0.75,0.35,14.21,333
8,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.45,-0.36,-0.65,-0.78,-2.96,-0.98,0.15,14.83,333
9,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.46,-0.65,-0.73,-3.06,-0.19,0.80,7.66,333
10,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.69,-0.44,-0.64,-0.72,-3.05,-0.15,0.62,14.08,333
11,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.47,-0.65,-0.70,-3.69,-0.47,0.72,13.41,333
12,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.39,-0.64,-0.73,-3.30,-0.69,0.10,11.67,333
13,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.40,-0.44,-0.67,-0.73,-3.44,1.85,0.71,10.42,333
14,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.69,-0.44,-0.64,-0.73,-3.19,-0.12,0.53,5.58,333
15,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.43,-0.63,-0.73,-3.09,-0.52,0.48,2.84,333
16,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,16.11,-0.45,-0.64,-0.74,-3.21,-0.47,0.39,1.73,333
17,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.69,-0.45,-0.64,-0.72,-3.15,-0.44,0.47,2.45,333
18,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.40,-0.43,-0.64,-0.73,-3.12,-0.41,0.42,2.54,333
19,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.40,-0.41,-0.68,-0.70,-3.25,-0.10,0.73,2.89,333
20,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.43,-0.60,-0.77,-2.82,-0.69,0.39,7.42,333
21,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,14.69,-0.44,-0.61,-0.71,-3.33,-0.37,0.51,10.08,333
22,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.43,-0.68,-0.71,-2.90,-0.65,0.62,10.34,333
23,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.41,-0.60,-0.73,-3.09,-0.83,0.42,7.29,333
24,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.39,-0.67,-0.73,-2.98,-0.57,0.47,8.55,333
25,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.43,-0.63,-0.72,-3.28,-0.50,-1.78,13.19,333
26,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.44,-0.66,-0.75,-2.98,-0.18,0.60,8.86,333
27,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,16.01,-0.45,-0.64,-0.73,-3.29,-0.31,0.27,7.48,333
28,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.43,-0.68,-0.72,-2.89,-0.12,0.40,6.07,333
29,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.44,-0.64,-0.73,-3.07,-0.27,0.19,0.59,333
30,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.46,-0.61,-0.74,-3.56,-0.59,0.21,8.42,333
31,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.43,-0.65,-0.74,-3.02,0.35,0.18,9.17,333
32,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.45,-0.62,-0.71,-3.18,-0.37,0.19,6.20,333
33,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.50,-0.62,-0.74,-2.93,-0.21,0.50,6.56,333
34,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.42,-0.63,-0.74,-3.15,-0.63,0.39,6.34,333
35,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.45,-0.65,-0.75,-3.31,-0.41,0.45,5.38,333
36,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.42,-0.62,-0.72,-3.46,-0.35,0.23,6.97,333
37,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.45,-0.67,-0.74,-3.21,-0.24,0.79,6.01,333
38,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.35,-0.40,-0.69,-0.70,-3.19,-0.30,0.43,6.08,333
39,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.45,-0.63,-0.73,-3.08,-0.49,0.40,5.64,333
40,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.44,-0.65,-0.73,-3.18,-0.39,0.34,2.96,333
41,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.44,-0.64,-0.73,-3.00,-0.51,0.51,3.03,333
42,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.41,-0.65,-0.75,-2.88,-0.50,-0.16,4.49,333
43,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.45,-0.63,-0.75,-3.25,-0.78,0.37,4.68,333
44,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.47,-0.64,-0.76,-3.00,-0.58,0.51,8.75,333
45,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.45,-0.62,-0.71,-2.92,-0.27,0.50,4.96,333
46,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.41,-0.65,-0.73,-3.11,-0.73,0.25,6.27,333
47,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.26,-0.42,-0.64,-0.69,-3.23,-0.04,0.50,7.64,333
48,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.12,-0.44,-0.64,-0.71,-3.41,-0.32,0.33,7.12,333
49,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.43,-0.63,-0.74,-3.12,-0.46,0.41,3.38,333
50,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.40,-0.66,-0.72,-3.38,-0.96,0.51,6.83,333
51,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.31,-0.44,-0.63,-0.73,-3.13,-0.40,0.26,5.74,333
52,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.44,-0.60,-0.73,-3.27,-0.77,0.46,7.96,333
53,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.47,-0.66,-0.74,-2.93,-0.13,0.50,8.52,333
54,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.45,-0.64,-0.70,-3.08,-0.43,0.58,7.15,333
55,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.42,-0.64,-0.77,-2.94,-0.50,0.46,5.17,333
56,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.45,-0.63,-0.72,-3.02,-0.25,0.36,4.58,333
57,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.45,-0.65,-0.74,-3.08,-0.65,0.41,8.77,333
58,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.21,-0.40,-0.67,-0.73,-3.13,0.03,0.31,10.15,333
59,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.48,-0.63,-0.74,-3.11,-0.43,0.36,6.79,333
60,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.17,-0.41,-0.61,-0.74,-3.11,-0.60,0.37,0.27,333
61,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.12,-0.44,-0.63,-0.71,-3.21,-0.56,0.53,9.56,333
62,2,1,1,0,0,0,0,0,0,0,0,35.98,21.31,15.02,-0.40,-0.67,-0.77,-3.34,-0.44,0.51,9.99,333
