time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.85,-0.40,-0.80,-0.53,-3.05,-0.40,0.43,1.41,1338
1,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.94,-0.40,-0.81,-0.53,-3.22,-0.53,0.38,1.03,1338
2,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.39,-0.80,-0.53,-3.11,-0.51,0.09,4.36,1338
3,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.44,-0.84,-0.58,-3.09,-0.22,0.44,8.91,1338
4,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.41,-0.75,-0.56,-2.91,-0.37,0.87,9.14,1338
5,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.39,-0.81,-0.54,-3.15,-0.78,1.12,8.52,1338
6,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.85,-0.41,-0.81,-0.54,-3.38,-0.14,0.26,7.66,1338
7,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.89,-0.42,-0.77,-0.54,-3.32,-0.44,-0.05,0.73,1338
8,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.33,-0.84,-0.51,-3.23,-1.03,0.37,6.76,1338
9,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.43,-0.82,-0.52,-3.09,-0.76,0.16,5.33,1338
10,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.85,-0.38,-0.82,-0.55,-3.39,-0.73,0.39,5.26,1338
11,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.40,-0.82,-0.52,-3.38,-0.46,0.63,4.51,1338
12,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.85,-0.40,-0.81,-0.52,-3.18,-0.61,0.27,4.58,1338
13,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.85,-0.40,-0.81,-0.54,-3.15,-0.53,0.49,3.19,1338
14,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.40,-0.81,-0.53,-3.27,-0.47,0.31,2.44,1338
15,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.40,-0.81,-0.53,-3.06,-0.65,0.49,2.69,1338
16,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.89,-0.40,-0.81,-0.52,-3.19,-0.54,0.46,2.43,1338
17,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,18.41,-0.40,-0.81,-0.53,-3.26,-0.65,0.43,2.03,1338
18,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.41,-0.87,-0.57,-2.95,-0.25,0.43,5.46,1338
19,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.89,-0.38,-0.77,-0.51,-3.02,-0.60,0.74,9.47,1338
20,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.40,-0.84,-0.55,-3.20,-0.31,0.57,6.95,1338
21,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.71,-0.38,-0.80,-0.53,-3.33,-0.68,0.50,10.95,1338
22,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.37,-0.72,-0.52,-3.26,-0.57,0.24,6.20,1338
23,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.75,-0.41,-0.80,-0.52,-2.99,-0.27,0.37,7.03,1338
24,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,16.95,-0.41,-0.80,-0.50,-3.55,-0.82,0.45,6.47,1338
25,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.39,-0.81,-0.55,-3.07,-0.48,0.42,6.50,1338
26,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.71,-0.45,-0.83,-0.52,-3.27,-0.77,0.41,10.97,1338
27,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,18.41,-0.44,-0.78,-0.52,-3.08,-0.56,0.24,7.16,1338
28,3,1,1,0,0,0,0,0,0,0,0,37.45,23.34,17.80,-0.38,-0.83,-0.53,-3.44,-0.84,0.45,4.62,1338
