time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.45,-0.64,-0.73,-3.31,-0.46,0.37,0.66,2860
1,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.78,-0.44,-0.64,-0.73,-3.18,-0.56,0.40,1.61,2860
2,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.44,-0.64,-0.74,-3.24,-0.46,0.43,2.08,2860
3,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.39,-0.64,-0.76,-3.08,-0.40,0.13,11.37,2860
4,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.48,-0.65,-0.71,-3.01,-0.20,0.63,10.99,2860
5,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.64,-0.43,-0.61,-0.73,-3.49,-0.27,1.05,12.68,2860
6,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.78,-0.39,-0.62,-0.73,-3.24,-0.86,-0.05,10.71,2860
7,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.43,-0.66,-0.75,-2.81,-0.53,0.36,13.08,2860
8,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.48,-0.64,-0.75,-2.77,-0.48,0.44,15.54,2860
9,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.47,-0.64,-0.70,-3.40,0.06,0.44,7.52,2860
10,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.78,-0.41,-0.65,-0.73,-3.18,-0.74,0.11,7.01,2860
11,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.47,-0.64,-0.73,-3.07,-0.07,0.35,9.20,2860
12,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.45,-0.64,-0.72,-3.19,-0.43,0.39,10.71,2860
13,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.44,-0.64,-0.71,-3.15,-0.47,0.46,2.14,2860
14,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.44,-0.63,-0.73,-3.26,-0.28,0.46,2.49,2860
15,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.82,-0.44,-0.65,-0.73,-3.16,-0.45,0.35,2.71,2860
16,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.78,-0.44,-0.63,-0.73,-3.21,-0.47,0.42,1.72,2860
17,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.73,-0.45,-0.64,-0.73,-3.22,-0.44,0.37,2.42,2860
18,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.43,-0.66,-0.74,-3.33,-0.53,0.34,0.26,2860
19,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.64,-0.45,-0.61,-0.70,-3.47,-0.68,0.33,8.09,2860
20,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.64,-0.42,-0.66,-0.73,-3.05,-0.34,0.44,11.79,2860
21,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.68,-0.41,-0.62,-0.73,-3.02,-0.71,0.73,7.51,2860
22,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.64,-0.43,-0.68,-0.73,-2.95,-0.13,0.82,6.27,2860
23,2,1,1,0,0,0,0,0,0,0,0,37.45,22.66,15.59,-0.43,-0.62,-0.74,-3.26,-0.64,0.76,6.66,2860
