time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.45,-0.62,-0.74,-3.29,-0.40,0.45,0.17,1395
1,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.13,-0.45,-0.63,-0.75,-3.22,-0.22,0.32,0.84,1395
2,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.44,-0.63,-0.72,-3.24,-0.40,0.40,2.99,1396
3,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.37,-0.44,-0.62,-0.76,-2.83,-0.47,0.37,12.65,1396
4,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.44,-0.61,-0.75,-3.20,0.04,-0.21,1.47,1396
5,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.39,-0.58,-0.73,-2.90,-0.86,-0.45,10.51,1396
6,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.13,-0.43,-0.61,-0.74,-2.91,-1.27,0.43,19.59,1396
7,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.46,-0.57,-0.73,-3.23,-0.06,0.58,21.77,1396
8,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.48,-0.62,-0.74,-3.32,1.86,0.93,18.80,1396
9,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.45,-0.58,-0.73,-3.16,-0.95,0.31,13.45,1396
10,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.68,-0.69,-3.11,-0.66,0.85,13.09,1396
11,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.38,-0.63,-0.74,-2.87,-0.68,0.41,16.27,1396
12,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.63,-0.73,-3.15,-0.32,0.59,12.33,1396
13,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.43,-0.61,-0.74,-3.18,-0.34,0.40,3.15,1396
14,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.18,-0.45,-0.62,-0.74,-3.03,-0.26,0.15,2.95,1396
15,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.42,-0.62,-0.74,-2.98,-0.29,0.46,2.96,1396
16,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.43,-0.61,-0.73,-2.90,-0.34,0.50,3.25,1396
17,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.44,-0.62,-0.73,-3.22,-0.34,0.47,3.36,1396
18,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.44,-0.58,-0.74,-3.34,-0.76,0.17,3.68,1396
19,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.37,-0.48,-0.64,-0.71,-2.82,-0.43,0.66,7.52,1396
20,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.61,-0.73,-3.24,-0.51,0.31,6.57,1396
21,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.40,-0.65,-0.73,-3.00,-0.33,0.28,6.55,1396
22,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.47,-0.60,-0.73,-3.39,-0.48,0.26,10.54,1396
23,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.45,-0.69,-0.76,-3.16,-0.27,1.01,5.51,1396
24,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.43,-0.56,-0.68,-3.37,-0.46,0.11,9.72,1396
25,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.46,-0.64,-0.78,-2.75,-0.68,0.60,8.58,1396
26,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.37,-0.35,-0.59,-0.75,-3.37,-0.73,0.33,10.86,1396
27,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.47,-0.61,-0.72,-2.99,-0.21,0.50,6.49,1396
28,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.42,-0.59,-0.73,-3.31,-0.18,-0.08,11.13,1396
29,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.43,-0.66,-0.78,-2.92,0.08,0.23,16.62,1396
30,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.59,-0.73,-3.13,-0.31,0.22,15.23,1396
31,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.42,-0.63,-0.74,-2.75,-0.18,0.66,14.47,1396
32,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.45,-0.62,-0.69,-3.08,-0.30,0.12,7.27,1396
33,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.45,-0.62,-0.78,-3.05,0.25,0.47,11.06,1396
34,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.13,-0.48,-0.60,-0.77,-2.91,-1.88,0.48,13.67,1396
35,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.43,-0.62,-0.73,-3.21,-0.33,-0.02,2.46,1396
36,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.42,-0.65,-0.72,-3.34,-0.46,0.73,9.91,1396
37,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.48,-0.64,-0.74,-3.09,-0.08,0.61,13.02,1396
38,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.61,-0.75,-3.00,-0.44,0.40,7.94,1396
39,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.37,-0.44,-0.62,-0.74,-2.89,-0.27,0.40,2.33,1396
40,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.44,-0.61,-0.74,-2.92,-0.38,0.35,7.05,1396
41,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.45,-0.61,-0.74,-2.92,-0.30,0.52,2.56,1396
42,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.18,-0.48,-0.67,-0.76,-3.11,-0.31,0.67,18.39,1396
43,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.46,-0.63,-0.72,-3.24,-0.42,0.59,6.71,1396
44,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.18,-0.45,-0.67,-0.71,-3.08,0.04,0.63,17.04,1396
45,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.42,-0.64,-0.73,-3.37,-1.90,0.35,8.95,1396
46,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.45,-0.64,-0.75,-2.61,-0.52,0.63,10.15,1396
47,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.44,-0.61,-0.74,-3.37,-0.35,0.27,8.96,1396
48,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.37,-0.45,-0.64,-0.72,-3.15,-0.02,0.86,12.76,1396
49,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.45,-0.62,-0.71,-3.38,0.21,0.18,11.52,1396
50,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.41,-0.65,-0.76,-3.08,-0.33,0.47,13.33,1396
51,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.18,-0.43,-0.60,-0.73,-3.16,-0.26,0.21,21.00,1396
52,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.44,-0.63,-0.72,-3.12,-0.20,0.62,6.88,1396
53,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.41,-0.66,-0.73,-3.15,0.18,0.28,10.38,1396
54,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.47,-0.61,-0.76,-3.05,-0.23,0.37,11.08,1396
55,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.41,-0.65,-0.74,-3.25,-0.29,0.40,10.21,1396
56,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.41,-0.57,-0.72,-3.13,-0.69,0.64,12.13,1396
57,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.41,-0.65,-0.76,-2.93,-0.57,0.50,8.71,1396
58,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.43,-0.62,-0.72,-3.03,-0.52,0.29,10.01,1396
59,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.41,-0.43,-0.66,-0.77,-3.00,-0.20,0.66,5.33,1396
60,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.46,-0.61,-0.72,-3.31,-0.60,0.58,5.82,1396
61,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.22,-0.43,-0.68,-0.75,-3.07,-0.15,0.55,8.87,1396
62,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.32,-0.45,-0.60,-0.70,-3.17,-0.24,0.09,6.67,1396
63,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.48,-0.67,-0.77,-2.99,-0.17,0.93,16.50,1396
64,2,1,1,0,0,0,0,0,0,0,0,34.03,19.29,14.27,-0.46,-0.62,-0.73,-3.01,-0.38,0.32,10.15,1396
