time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.36,-0.92,-0.25,-3.08,-0.27,0.30,1.45,906
1,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.35,-0.92,-0.24,-3.05,-0.50,0.34,2.71,906
2,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.35,-0.93,-0.25,-3.22,-0.67,0.18,4.32,906
3,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.41,-0.85,-0.19,-3.51,0.37,1.43,17.48,906
4,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.79,-0.38,-0.83,-0.29,-2.92,-0.79,0.31,18.62,906
5,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.45,-0.95,-0.20,-3.03,-0.15,1.08,12.22,906
6,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,13.94,-0.35,-0.95,-0.25,-3.45,-0.41,0.42,12.49,906
7,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.35,-0.88,-0.28,-2.95,-0.57,0.23,13.57,906
8,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.36,-0.98,-0.27,-2.98,-1.95,0.21,17.29,906
9,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.38,-0.90,-0.26,-3.38,-0.26,0.24,17.00,906
10,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.65,-0.29,-0.84,-0.29,-3.02,-0.89,0.12,14.28,906
11,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.84,-0.35,-0.95,-0.26,-2.58,-0.88,0.24,18.86,906
12,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.35,-0.90,-0.25,-3.10,-0.36,0.40,8.70,906
13,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.36,-0.92,-0.25,-3.06,-0.60,0.44,2.46,906
14,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.37,-0.90,-0.25,-3.27,-0.62,0.25,2.32,906
15,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.35,-0.91,-0.25,-3.15,-0.48,0.48,2.79,906
16,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.04,-0.36,-0.92,-0.25,-3.11,-0.34,0.47,2.25,906
17,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.36,-0.92,-0.24,-3.16,-0.44,0.56,2.06,906
18,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.36,-0.99,-0.26,-2.55,-0.60,0.21,5.19,906
19,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.74,-0.38,-0.90,-0.22,-3.29,-0.58,0.50,12.61,906
20,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.69,-0.31,-0.92,-0.25,-2.95,-0.43,0.41,13.03,906
21,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,15.40,-0.35,-0.89,-0.23,-3.12,-0.08,0.44,9.31,906
22,4,1,0,0,1,0,0,0,0,0,0,38.91,21.31,14.65,-0.32,-0.94,-0.24,-2.87,-0.08,0.28,9.94,906
