time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
1,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.92,-0.43,-0.65,-0.74,-3.30,-0.53,0.50,2.65,1791
2,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.92,-0.43,-0.61,-0.70,-3.32,-0.51,0.40,1.39,1791
3,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.47,-0.61,-0.77,-3.08,0.29,0.34,4.43,1791
4,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.21,-0.46,-0.63,-0.72,-3.20,-0.53,0.58,8.19,1791
5,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.44,-0.64,-0.75,-3.11,-1.31,0.07,10.32,1791
6,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.92,-0.38,-0.65,-0.75,-3.09,-0.69,0.49,10.08,1791
7,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,20.62,-0.44,-0.63,-0.73,-3.04,-0.63,0.70,6.20,1791
8,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.40,-0.63,-0.76,-3.20,-0.40,0.48,11.22,1791
9,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.21,-0.45,-0.63,-0.71,-3.13,-0.50,0.50,6.76,1791
10,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.41,-0.61,-0.72,-2.92,-0.49,0.03,7.05,1791
11,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.46,-0.68,-0.76,-3.15,-0.81,0.21,8.96,1791
12,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.43,-0.65,-0.75,-3.24,-0.07,0.47,6.54,1791
13,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.45,-0.64,-0.72,-3.21,-0.53,0.26,8.64,1791
14,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.43,-0.64,-0.74,-3.08,-0.50,0.47,1.92,1791
15,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.44,-0.64,-0.74,-3.26,-0.49,0.52,2.98,1791
16,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.43,-0.65,-0.74,-3.32,-0.75,0.40,3.71,1791
17,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.43,-0.64,-0.75,-3.15,-0.63,0.53,2.61,1791
18,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.78,-0.43,-0.64,-0.74,-3.24,-0.59,0.34,2.36,1791
19,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.92,-0.40,-0.65,-0.75,-3.60,-0.54,0.18,4.53,1791
20,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.46,-0.69,-0.74,-2.84,0.03,0.62,9.21,1791
21,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.44,-0.62,-0.73,-3.40,-0.73,0.34,9.00,1791
22,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,20.62,-0.45,-0.65,-0.72,-2.92,-0.48,0.79,9.83,1791
23,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.43,-0.64,-0.73,-3.05,-0.79,0.42,10.65,1791
24,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.78,-0.47,-0.66,-0.76,-2.92,-0.08,0.44,8.38,1791
25,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.42,-0.64,-0.73,-3.63,-0.66,0.20,15.66,1791
26,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.92,-0.43,-0.65,-0.74,-2.84,-0.54,0.89,9.86,1791
27,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.37,-0.61,-0.73,-3.53,-1.15,0.15,7.94,1791
28,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.47,-0.63,-0.73,-3.07,-0.53,0.62,10.57,1791
29,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.21,-0.45,-0.66,-0.74,-3.02,-0.82,0.43,10.77,1791
30,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.87,-0.42,-0.64,-0.75,-3.17,-0.03,0.50,11.87,1791
31,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.78,-0.42,-0.65,-0.74,-3.15,-0.98,0.57,7.24,1791
32,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,20.62,-0.45,-0.62,-0.73,-3.56,-0.40,0.31,1.32,1791
33,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.82,-0.44,-0.65,-0.73,-2.95,-0.28,0.64,13.38,1791
34,2,1,1,0,0,0,0,0,0,0,0,33.54,26.71,19.78,-0.42,-0.63,-0.75,-3.37,-0.45,-1.82,10.76,1791
