time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
1,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.14,-0.59,0.72,-3.04,-0.60,0.46,0.32,18
2,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.45,-0.14,-0.56,0.72,-3.05,-0.56,0.35,2.04,18
3,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.12,-0.59,0.72,-3.06,-0.33,0.47,4.33,18
4,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.07,-0.55,0.73,-3.08,-0.69,1.95,8.14,18
5,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.15,-0.57,0.70,-3.05,-0.59,0.14,10.82,18
6,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.15,-0.56,0.68,-3.35,-0.75,0.28,8.35,18
7,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.59,0.72,-3.11,-0.52,0.60,7.18,18
8,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.15,-0.11,-0.57,0.69,-3.09,-0.53,0.41,6.85,18
9,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.59,0.74,-3.15,-0.85,0.16,7.19,18
10,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.15,-0.14,-0.56,0.69,-3.27,-0.59,0.11,6.53,18
11,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.15,-0.12,-0.58,0.71,-2.95,-0.19,0.86,5.45,18
12,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.11,-0.58,0.73,-3.01,-0.47,0.55,16.41,18
13,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.14,-0.57,0.70,-3.20,-0.76,0.41,8.83,18
14,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.13,-0.57,0.71,-3.18,-0.68,0.39,3.15,18
15,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.15,-0.13,-0.59,0.71,-3.10,-0.55,0.35,2.35,18
16,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.13,-0.59,0.70,-3.10,-0.59,0.42,2.74,18
17,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.57,0.72,-3.09,-0.59,0.31,2.28,18
18,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.13,-0.58,0.70,-3.14,-0.57,0.32,3.06,18
19,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.14,-0.58,0.73,-2.92,-1.93,0.33,7.07,18
20,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.11,-0.53,0.68,-3.29,-1.27,0.51,8.26,18
21,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.15,-0.55,0.71,-3.01,-0.16,0.37,6.78,18
22,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.11,-0.57,0.67,-3.18,-0.73,0.76,7.88,18
23,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.15,-0.14,-0.55,0.73,-3.08,-0.52,0.38,7.50,18
24,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.11,-0.56,0.69,-3.05,-0.78,0.24,4.64,18
25,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.16,-0.58,0.72,-2.80,-0.13,0.58,7.90,18
26,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.12,-0.59,0.70,-3.19,-0.89,0.34,1.44,18
27,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.18,-0.56,0.67,-3.26,-0.85,0.41,4.37,18
28,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.08,-0.57,0.71,-3.26,-0.70,0.41,6.90,18
29,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.16,-0.60,0.67,-3.08,-0.90,0.20,8.58,18
30,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.12,-0.60,0.71,-3.21,-0.27,0.46,5.95,18
31,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.18,-0.54,0.66,-3.16,-0.69,0.45,6.99,18
32,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.08,-0.58,0.72,-3.17,-0.22,0.18,8.91,18
33,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.12,-0.54,0.69,-3.15,-0.73,0.12,6.67,18
34,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.62,0.73,-2.91,-0.10,0.25,8.07,18
35,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.14,-0.63,0.71,-3.27,-0.98,0.70,8.99,18
36,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.10,-0.58,0.73,-3.07,-1.95,0.45,9.91,18
37,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.92,-0.11,-0.54,0.68,-3.13,-1.18,0.41,9.53,18
38,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.10,-0.59,0.71,-3.06,-1.90,0.60,7.32,18
39,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.57,0.71,-3.11,-0.42,0.40,4.54,18
40,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.13,-0.58,0.70,-3.05,-0.49,0.30,2.61,18
41,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.13,-0.58,0.71,-3.18,-0.67,0.44,2.73,18
42,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.13,-0.60,0.73,-3.08,-0.19,0.47,3.96,18
43,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.12,-0.59,0.70,-3.25,-0.82,0.24,8.85,18
44,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.15,-0.59,0.73,-3.12,-0.20,0.37,8.13,18
45,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.13,-0.58,0.69,-3.18,-0.63,0.60,6.41,18
46,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.13,-0.58,0.70,-3.31,-0.15,0.34,4.91,18
47,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.11,-0.12,-0.56,0.70,-3.21,-0.90,0.34,9.84,18
48,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.11,-0.62,0.73,-2.95,-0.01,0.18,5.05,18
49,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.58,0.73,-3.04,-0.05,0.20,7.60,18
50,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.87,-0.13,-0.58,0.71,-3.03,-0.73,0.42,8.00,18
51,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.15,-0.58,0.70,-3.11,-0.39,0.12,6.83,18
52,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.15,-0.59,0.69,-3.05,-0.65,0.31,6.89,18
53,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.14,-0.60,0.71,-3.04,-0.51,0.05,6.78,18
54,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.12,-0.54,0.69,-3.08,-0.81,0.56,4.18,18
55,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.92,-0.14,-0.59,0.71,-3.00,-1.95,1.86,9.46,18
56,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.12,-0.53,0.70,-3.35,-0.90,0.44,8.76,18
57,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.15,-0.56,0.72,-3.16,-1.82,0.37,1.24,18
58,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.13,-0.61,0.72,-3.05,-0.69,0.41,12.27,18
59,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.13,-0.56,0.72,-3.37,-0.44,0.60,7.24,18
60,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.14,-0.57,0.69,-3.00,-0.80,0.26,6.48,18
61,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.17,-0.59,0.71,-3.05,-0.51,0.28,8.08,18
62,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.12,-0.60,0.70,-3.06,-0.79,0.48,9.84,18
63,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.15,-0.56,0.69,-3.22,-0.50,0.49,6.72,18
64,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.12,-0.58,0.70,-2.98,-0.41,0.36,6.87,18
65,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.17,-0.57,0.70,-3.12,-0.51,0.26,6.27,18
66,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.12,-0.59,0.71,-3.11,-0.49,0.26,8.89,18
67,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.15,-0.59,0.72,-3.17,-0.63,0.25,6.25,18
68,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.10,-0.58,0.70,-3.02,-0.72,0.37,8.16,18
69,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.14,-0.56,0.70,-3.12,-0.17,0.62,8.01,18
70,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.87,-0.11,-0.57,0.70,-3.15,-0.61,0.27,8.98,18
71,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.15,-0.57,0.68,-3.33,-0.50,0.34,7.72,18
72,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.10,-0.58,0.70,-3.05,-0.77,0.33,11.61,18
73,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.16,-0.62,0.72,-3.15,-0.53,0.28,5.39,18
74,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,15.97,-0.13,-0.57,0.70,-3.05,-0.63,0.29,6.66,18
75,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.17,-0.56,0.69,-3.18,-0.39,0.48,7.07,18
76,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.12,-0.57,0.71,-3.03,-0.65,0.43,12.02,18
77,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.13,-0.58,0.70,-3.05,-0.38,0.22,8.77,18
78,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.06,-0.13,-0.57,0.70,-3.08,-0.81,0.40,6.71,18
79,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.18,-0.57,0.71,-2.92,-0.66,-1.88,9.12,18
80,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.15,-0.54,0.73,-3.08,-0.05,0.33,9.41,18
81,8,1,0,1,0,0,0,0,0,0,0,40.38,23.34,16.01,-0.11,-0.61,0.67,-3.25,-0.89,0.35,13.36,18
