time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
1,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.48,-0.04,0.42,0.81,-3.24,-0.50,0.47,1.67,624
2,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.05,0.42,0.80,-3.00,-0.50,0.34,3.20,624
3,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.48,-0.02,0.40,0.76,-3.22,-0.29,0.79,10.36,624
4,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.53,0.04,0.49,0.79,-3.17,-0.67,0.58,6.60,624
5,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.53,-0.03,0.43,0.78,-3.03,-0.32,0.04,16.22,624
6,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.03,0.39,0.75,-3.13,-0.61,0.60,10.55,624
7,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.67,-0.05,0.43,0.79,-3.04,-0.11,0.32,12.00,624
8,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.01,0.43,0.80,-3.09,-0.52,0.76,9.08,624
9,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.53,-0.05,0.43,0.80,-2.87,-0.54,0.60,5.56,624
10,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.62,-0.02,0.41,0.80,-2.92,-0.53,0.58,10.80,624
11,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.06,0.43,0.79,-3.49,-0.94,0.15,7.65,624
12,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.05,0.43,0.81,-3.11,-0.44,0.28,11.11,624
13,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.04,0.42,0.80,-3.07,-0.31,0.41,2.92,624
14,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.05,0.44,0.78,-3.16,-0.56,0.62,2.30,624
15,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.05,0.43,0.80,-3.08,-0.42,0.56,2.60,624
16,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.62,-0.05,0.43,0.81,-3.05,-0.60,0.50,2.04,624
17,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,-0.04,0.43,0.80,-3.28,-0.62,0.48,2.22,624
18,12,1,0,1,0,0,0,0,0,0,0,33.54,21.99,16.58,0.03,0.42,0.80,-2.94,-0.49,0.29,5.12,624
