time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.40,-0.80,-0.51,-3.19,-0.54,0.33,0.41,1881
1,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.42,-0.81,-0.51,-3.21,-0.40,0.24,0.94,1881
2,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.69,-0.42,-0.81,-0.51,-3.15,-0.37,0.31,2.18,1881
3,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.41,-0.81,-0.52,-3.16,-0.51,0.35,1.94,1881
4,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.88,-0.41,-0.81,-0.51,-2.95,-0.37,0.53,1.83,1881
5,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.39,-0.80,-0.53,-3.23,-0.87,0.73,9.39,1881
6,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.44,-0.83,-0.51,-3.15,-0.24,0.21,1.33,1881
7,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.88,-0.44,-0.79,-0.49,-3.18,-1.02,0.66,16.59,1881
8,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.42,-0.79,-0.51,-3.06,0.18,0.55,8.55,1881
9,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.40,-0.82,-0.51,-3.16,-0.24,0.38,7.56,1881
10,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.42,-0.82,-0.51,-3.05,-0.55,1.85,16.77,1881
11,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.74,-0.38,-0.81,-0.51,-3.14,-0.61,0.85,14.03,1881
12,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.42,-0.82,-0.51,-3.16,-0.35,0.27,5.21,1881
13,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.45,-0.82,-0.48,-3.34,-0.24,0.76,5.38,1881
14,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.38,-0.80,-0.53,-3.23,-0.30,0.43,6.56,1881
15,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.41,-0.80,-0.51,-3.28,-0.39,0.37,3.34,1881
16,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.88,-0.41,-0.80,-0.52,-3.05,-0.41,0.40,2.67,1881
17,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.40,-0.81,-0.52,-3.19,-0.45,0.44,2.51,1881
18,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.41,-0.81,-0.51,-3.08,-0.27,0.37,2.68,1881
19,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.93,-0.41,-0.81,-0.51,-3.05,-0.29,0.18,2.22,1881
20,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.45,-0.85,-0.51,-2.96,-0.08,-1.84,5.16,1881
21,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.88,-0.44,-0.76,-0.50,-3.12,-0.23,0.47,11.79,1881
22,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.74,-0.41,-0.78,-0.51,-3.04,-0.02,0.51,8.97,1881
23,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.84,-0.37,-0.81,-0.51,-3.01,-0.27,0.37,6.83,1881
24,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.35,-0.82,-0.50,-3.37,-0.49,0.31,5.10,1881
25,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.42,-0.83,-0.54,-3.02,-0.27,0.64,8.13,1881
26,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.93,-0.41,-0.83,-0.52,-3.17,-0.50,0.26,6.25,1881
27,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.37,-0.81,-0.52,-3.37,-0.53,0.49,7.06,1881
28,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.40,-0.83,-0.53,-3.26,-0.19,0.19,5.61,1881
29,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.40,-0.84,-0.51,-3.25,-0.17,0.75,6.39,1881
30,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.79,-0.38,-0.78,-0.51,-3.19,-0.44,0.27,6.77,1881
31,3,1,1,0,0,0,0,0,0,0,0,31.10,23.34,14.88,-0.42,-0.79,-0.53,-3.20,-0.63,0.45,5.32,1881
