time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.26,-0.91,0.20,-3.30,-0.15,0.70,0.97,13
1,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.27,-0.91,0.21,-3.15,-0.44,0.37,2.28,13
2,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.27,-0.91,0.21,-3.20,-0.46,0.45,5.21,13
3,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.26,-0.88,0.20,-3.17,-0.66,0.13,7.33,13
4,5,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.07,-0.26,-0.94,0.20,-3.02,-0.48,1.01,12.83,13
5,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.25,-0.92,0.20,-3.04,-0.37,0.79,9.78,13
6,5,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.28,-0.89,0.19,-3.28,-0.38,0.82,9.13,13
7,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.26,-0.91,0.23,-3.20,-0.46,0.37,6.40,13
8,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.26,-0.91,0.21,-3.21,-0.45,0.62,3.40,13
9,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.21,-0.26,-0.93,0.18,-3.30,-0.46,0.17,5.25,13
10,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.28,-0.88,0.20,-3.14,-0.25,0.75,5.99,13
11,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.26,-0.92,0.18,-3.00,-0.34,0.82,4.79,13
12,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.27,-0.90,0.23,-3.17,-0.51,0.83,2.89,13
13,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.21,-0.27,-0.91,0.21,-2.97,-0.36,0.57,2.77,13
14,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.27,-0.91,0.20,-3.10,-0.46,0.49,2.86,13
15,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.28,-0.91,0.20,-3.12,-0.36,0.47,1.71,13
16,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.26,-0.91,0.20,-3.22,-0.40,0.56,3.44,13
17,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.07,-0.28,-0.91,0.20,-3.20,-0.27,0.51,2.35,13
18,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.27,-0.91,0.20,-3.07,-0.32,0.42,2.76,13
19,5,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.07,-0.27,-0.95,0.19,-3.03,-0.26,0.18,13.88,13
20,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.07,-0.25,-0.92,0.19,-3.20,-0.54,0.74,11.42,13
21,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.26,-0.95,0.22,-3.05,-0.15,0.11,12.93,13
22,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.12,-0.29,-0.89,0.21,-3.00,-0.15,0.67,0.73,13
23,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.27,-0.98,0.20,-2.95,-1.95,0.56,11.99,13
24,6,1,0,1,0,0,0,0,0,0,0,35.98,22.66,15.17,-0.27,-0.87,0.19,-3.21,-0.33,0.37,10.75,13
