time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.04,0.04,-0.76,5.45,-5.40,7.15,1.56,3504
1,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.05,0.03,-0.77,5.16,-5.17,7.13,1.12,3504
2,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.69,-0.05,0.04,-0.77,5.51,-5.44,6.88,3.41,3504
3,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,0.03,0.10,-0.75,5.18,-5.30,6.98,5.76,3504
4,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.11,0.05,-0.79,5.44,-5.32,7.09,4.42,3504
5,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.00,0.03,-0.77,4.96,-5.43,7.13,4.49,3504
6,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.69,-0.03,0.01,-0.76,5.35,-5.27,7.29,0.76,3504
7,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.00,0.08,-0.78,5.18,-5.34,7.04,3.72,3504
8,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.08,0.05,-0.76,5.45,-5.56,7.09,2.89,3504
9,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.10,0.00,-0.77,5.25,-5.40,6.94,2.83,3504
10,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.03,0.09,-0.75,4.99,-5.35,6.95,3.09,3504
11,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.08,0.03,-0.77,5.33,-5.30,7.08,3.78,3504
12,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.05,0.03,-0.78,5.44,-5.31,6.95,3.58,3504
13,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.05,0.03,-0.77,5.21,-5.31,7.31,2.96,3504
14,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.05,0.03,-0.77,5.23,-5.28,6.99,3.21,3504
15,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.05,0.03,-0.78,5.21,-5.34,6.96,2.88,3504
16,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.05,0.03,-0.76,5.56,-5.46,7.07,2.96,3504
17,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.05,0.04,-0.78,5.61,-5.23,7.03,3.74,3504
18,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.08,0.02,-0.77,5.28,-5.30,6.80,3.74,3504
19,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.07,-0.02,-0.78,5.34,-5.37,7.15,3.51,3504
20,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.51,-0.05,0.03,-0.76,5.45,-5.36,7.05,3.93,3504
21,0,1,1,0,0,0,0,0,0,0,0,32.57,26.71,18.60,-0.03,0.07,-0.78,5.21,-5.29,7.19,4.46,3504
