time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,4,1,1,0,0,0,0,0,0,0,0,34.52,26.71,19.02,-0.36,-0.89,-0.27,-3.11,-0.53,0.38,2.29,578
1,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.36,-0.91,-0.28,-3.09,-0.52,0.44,0.70,578
2,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.36,-0.91,-0.28,-3.11,-0.42,0.57,2.38,578
3,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.36,-0.91,-0.28,-3.09,-0.56,0.55,2.47,578
4,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.07,-0.36,-0.91,-0.29,-3.19,-0.37,0.44,2.65,578
5,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.07,-0.34,-0.89,-0.27,-3.19,-0.56,0.63,4.73,578
6,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,18.98,-0.37,-0.92,-0.29,-2.91,-0.24,0.93,0.98,578
7,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.38,-0.92,-0.27,-3.42,-0.40,0.75,8.64,578
8,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.37,-0.88,-0.26,-3.08,-0.57,0.49,5.67,578
9,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,18.88,-0.35,-0.94,-0.27,-3.02,-0.75,0.68,15.47,578
10,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.07,-0.36,-0.88,-0.28,-3.02,-0.32,0.31,4.72,578
11,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.36,-0.94,-0.27,-3.11,-0.19,0.70,10.44,578
12,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.07,-0.39,-0.92,-0.28,-3.08,-0.62,0.45,7.29,578
13,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.34,-0.93,-0.26,-3.08,-0.37,0.44,6.54,578
14,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.12,-0.36,-0.91,-0.28,-3.21,-0.50,0.52,5.36,578
15,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.36,-0.91,-0.28,-3.15,-0.42,0.46,2.89,578
16,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.02,-0.37,-0.91,-0.29,-3.06,-0.71,0.48,2.74,578
17,4,1,1,0,0,0,0,0,0,0,0,34.03,26.71,19.12,-0.37,-0.91,-0.28,-3.21,-0.57,0.31,2.59,578
