time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
1,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.29,-0.36,-0.91,-0.25,-3.14,-0.37,0.49,0.10,32
2,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.39,-0.36,-0.91,-0.27,-3.09,-0.34,0.40,2.19,32
3,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.35,-0.91,-0.28,-3.18,-0.60,0.38,0.38,33
4,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.25,-0.34,-0.92,-0.27,-3.06,-0.37,0.22,2.98,33
5,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.37,-0.89,-0.27,-3.17,-0.56,0.64,6.51,33
6,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.37,-0.89,-0.23,-3.24,-0.34,0.69,20.38,33
7,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.34,-0.35,-0.85,-0.30,-3.42,-0.54,0.73,17.87,33
8,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.31,-0.91,-0.26,-3.05,-1.11,0.45,9.08,33
9,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.39,-0.41,-0.93,-0.25,-2.58,-0.27,0.10,13.87,33
10,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.34,-0.37,-0.93,-0.26,-3.32,-0.17,0.48,9.30,33
11,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.41,-0.89,-0.26,-3.53,-0.25,0.80,8.84,33
12,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.35,-0.94,-0.27,-2.90,-0.92,0.50,10.45,33
13,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.34,-0.39,-0.92,-0.27,-2.62,-0.29,0.24,9.89,33
14,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.53,-0.37,-0.91,-0.27,-3.24,-0.50,0.34,13.30,33
15,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.36,-0.92,-0.26,-3.14,-0.47,0.43,3.31,33
16,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.53,-0.36,-0.92,-0.26,-3.26,-0.30,0.37,1.84,33
17,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.37,-0.91,-0.27,-3.26,-0.52,0.47,2.90,33
18,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.36,-0.91,-0.27,-3.18,-0.39,0.33,2.46,33
19,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.62,-0.36,-0.91,-0.27,-3.05,-0.57,0.42,1.72,33
20,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.53,-0.29,-0.98,-0.30,-3.39,-0.88,0.57,3.85,33
21,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.53,-0.36,-0.91,-0.24,-2.78,-0.57,0.47,12.07,33
22,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.33,-0.87,-0.27,-3.47,-0.32,0.67,10.15,33
23,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.35,-0.93,-0.28,-3.18,-0.34,0.43,11.09,33
24,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.48,-0.36,-0.94,-0.27,-3.25,-0.47,0.61,6.75,33
25,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.39,-0.34,-0.93,-0.27,-3.33,-0.41,0.27,9.55,33
26,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.44,-0.33,-0.93,-0.29,-3.23,-0.29,0.61,10.08,33
27,4,1,1,0,0,0,0,0,0,0,0,38.91,24.01,16.53,-0.39,-0.87,-0.26,-3.09,-0.05,0.47,8.79,33
