time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
0,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.45,-0.39,-0.91,-3.16,-0.24,0.49,2.88,669
1,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.45,-0.38,-0.90,-3.15,-0.47,0.42,0.99,669
2,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.44,-0.39,-0.91,-3.30,-0.49,0.53,3.20,669
3,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.45,-0.40,-0.91,-3.15,-1.90,0.29,5.86,669
4,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.45,-0.35,-0.87,-3.11,0.26,1.95,16.10,669
5,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.41,-0.38,-0.99,-3.18,-1.08,0.21,17.71,669
6,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.50,-0.42,-0.92,-3.01,-0.73,0.23,13.48,669
7,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.45,-0.43,-0.89,-3.20,-0.15,0.07,10.80,669
8,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.40,-0.39,-0.94,-3.07,-0.69,0.37,1.10,669
9,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.47,-0.35,-0.85,-3.23,0.01,0.67,12.43,669
10,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.45,-0.39,-0.90,-3.08,-0.20,0.40,8.84,669
11,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.43,-0.37,-0.93,-3.02,-0.65,-0.03,16.31,669
12,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.46,-0.40,-0.88,-3.11,-0.15,0.51,12.20,669
13,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.46,-0.39,-0.90,-3.21,-0.42,0.47,2.95,669
14,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.45,-0.40,-0.89,-3.22,-0.30,0.44,2.37,669
15,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.44,-0.39,-0.90,-3.11,-0.47,0.24,3.32,669
16,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.45,-0.39,-0.89,-3.08,-0.42,0.40,2.44,669
17,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.47,-0.45,-0.39,-0.90,-3.02,-0.31,0.44,2.17,669
18,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.46,-0.45,-0.88,-3.20,0.30,0.45,4.31,669
19,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.49,-0.39,-0.91,-3.29,-0.08,0.29,8.70,669
20,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.46,-0.41,-0.89,-3.47,-0.24,0.44,12.65,669
21,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.50,-0.43,-0.87,-3.37,-0.27,0.37,11.53,669
22,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,18.41,-0.47,-0.42,-0.88,-3.34,-0.41,0.21,11.02,669
23,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.49,-0.40,-0.91,-2.99,-1.89,0.53,11.08,669
24,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,18.32,-0.43,-0.37,-0.87,-3.30,-0.44,0.21,8.53,669
25,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.47,-0.41,-0.94,-2.79,-0.57,0.94,11.98,669
26,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.48,-0.43,-0.89,-3.58,1.92,0.51,20.12,669
27,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.44,-0.41,-0.94,-2.86,-0.28,0.56,10.16,669
28,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,16.95,-0.44,-0.36,-0.87,-3.44,0.18,-0.34,8.62,669
29,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.44,-0.37,-0.95,-3.05,-0.27,0.56,15.74,669
30,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.44,-0.40,-0.88,-3.43,-0.61,0.10,7.98,669
31,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.46,-0.37,-0.92,-3.21,-0.85,0.40,11.61,669
32,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.44,-0.37,-0.88,-3.23,-0.17,0.36,6.74,669
33,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.46,-0.38,-0.93,-2.94,-0.48,0.87,13.11,669
34,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.47,-0.41,-0.91,-3.52,0.01,-0.05,9.25,669
35,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.51,-0.42,-0.90,-3.11,-0.38,0.56,9.30,669
36,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.44,-0.43,-0.88,-3.27,-0.27,0.44,9.15,669
37,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.46,-0.39,-0.93,-3.20,-0.68,0.74,6.79,669
38,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.48,-0.38,-0.88,-3.21,-0.24,-0.02,11.23,669
39,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,18.41,-0.46,-0.39,-0.90,-3.15,-0.56,0.41,0.85,669
40,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.47,-0.46,-0.39,-0.89,-3.19,-0.26,0.41,2.34,669
41,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.47,-0.40,-0.88,-3.37,-0.26,0.31,4.99,669
42,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.48,-0.40,-0.91,-2.97,-0.21,0.53,7.42,669
43,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.43,-0.36,-0.89,-3.12,-0.53,0.29,6.93,669
44,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.41,-0.40,-0.90,-3.23,-0.36,0.25,5.66,669
45,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.43,-0.37,-0.87,-3.27,-0.54,0.18,6.26,669
46,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.50,-0.40,-0.92,-2.99,-0.40,0.31,9.41,669
47,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.48,-0.41,-0.90,-3.33,-0.45,0.40,5.31,669
48,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.45,-0.41,-0.90,-3.08,-0.58,0.65,5.49,669
49,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.48,-0.39,-0.90,-3.41,-0.05,0.45,8.29,669
50,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.45,-0.39,-0.90,-3.08,-0.28,0.90,11.99,669
51,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.43,-0.39,-0.88,-3.32,-0.44,-0.09,6.61,669
52,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.45,-0.38,-0.92,-3.03,-0.86,0.59,6.01,669
53,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.46,-0.38,-0.91,-3.25,-0.55,0.47,7.04,669
54,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.47,-0.39,-0.91,-3.15,-1.85,0.66,11.78,669
55,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.47,-0.38,-0.89,-3.18,-0.33,0.28,7.71,669
56,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.46,-0.39,-0.92,-2.92,-0.60,0.56,6.03,669
57,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.42,-0.40,-0.92,-3.18,-0.39,0.49,10.71,669
58,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.44,-0.37,-0.93,-3.17,-0.54,0.53,7.71,669
59,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.47,-0.40,-0.87,-3.16,-0.47,0.31,10.77,669
60,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.50,-0.37,-0.93,-3.07,-0.52,0.60,6.42,669
61,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.45,-0.39,-0.91,-3.14,-0.45,0.44,7.77,669
62,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.45,-0.39,-0.90,-3.31,-0.35,0.46,7.03,669
63,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.43,-0.41,-0.91,-3.24,-0.66,0.08,8.36,669
64,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.47,-0.46,-0.39,-0.92,-3.25,-0.60,0.17,6.54,669
65,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.44,-0.41,-0.93,-3.05,-0.65,0.58,5.87,669
66,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.46,-0.41,-0.88,-2.98,-0.02,0.18,9.94,669
67,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.46,-0.41,-0.93,-2.89,-0.58,0.89,9.15,669
68,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.47,-0.41,-0.88,-3.18,0.27,0.22,6.17,669
69,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.46,-0.38,-0.91,-3.03,-0.52,0.31,6.87,669
70,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.43,-0.42,-0.89,-3.12,-0.38,0.20,0.42,669
71,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.43,-0.39,-0.89,-3.40,-0.85,0.22,4.73,669
72,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.48,-0.41,-0.92,-3.13,-0.05,0.62,13.05,669
73,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.61,-0.46,-0.36,-0.85,-3.40,-0.47,0.14,6.31,669
74,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.57,-0.46,-0.37,-0.93,-3.21,-0.26,0.44,7.40,669
75,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.43,-0.36,-0.88,-3.17,-0.56,0.40,3.60,669
76,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.52,-0.48,-0.40,-0.92,-3.02,-0.33,0.59,6.81,669
77,1,1,1,0,0,0,0,1,0,0,0,35.01,24.69,17.66,-0.45,-0.41,-0.87,-3.25,0.03,0.18,6.73,669
