time,rotary,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,sht21hum,sht21temp,mputemp,ax,ay,az,gx,gy,gz,shake,s0
1,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.41,-0.37,-0.90,-0.28,-3.15,-0.34,0.50,0.29,966
2,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.41,-0.39,-0.86,-0.29,-3.21,-0.35,0.67,3.45,966
3,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.46,-0.37,-0.90,-0.29,-3.05,-0.37,0.33,2.71,966
4,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.51,-0.36,-0.89,-0.28,-3.09,-0.41,0.49,8.11,966
5,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.41,-0.36,-0.89,-0.34,-3.22,-0.46,0.49,22.68,966
6,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.46,-0.35,-0.85,-0.31,-3.50,-0.62,0.62,20.02,966
7,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.46,-0.40,-0.95,-0.27,-2.21,0.49,0.44,20.77,966
8,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.41,-0.42,-0.91,-0.27,-2.83,-0.14,0.09,15.77,966
9,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.40,-1.01,-0.30,-3.67,0.21,0.40,22.85,966
10,4,1,1,0,0,0,0,0,0,0,0,34.03,21.99,14.41,-0.35,-0.90,-0.24,-3.61,-0.56,0.66,15.73,966
11,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.36,-0.92,-0.27,-2.94,-0.85,0.45,16.94,966
12,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.51,-0.40,-0.94,-0.28,-2.74,-0.32,0.08,22.29,966
13,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.46,-0.38,-0.90,-0.27,-2.50,-0.28,-0.05,11.44,966
14,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.46,-0.38,-0.92,-0.28,-3.08,-0.37,0.47,8.30,966
15,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.37,-0.91,-0.30,-2.91,-0.48,0.27,2.98,966
16,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.37,-0.91,-0.28,-3.18,-0.21,0.32,2.15,966
17,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.36,-0.90,-0.28,-3.15,-0.33,0.50,2.71,966
18,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.46,-0.37,-0.91,-0.28,-3.21,-0.34,0.33,2.57,966
19,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.51,-0.37,-0.92,-0.28,-3.07,-0.54,0.37,2.17,966
20,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.41,-0.34,-0.96,-0.26,-3.63,0.05,0.98,5.28,966
21,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.51,-0.37,-0.91,-0.29,-3.49,-0.44,0.81,17.04,966
22,4,1,1,0,0,0,0,0,0,0,0,33.54,21.99,14.46,-0.31,-0.95,-0.29,-2.39,-0.53,-1.93,15.29,966
